streetname,num_of_uplifts,maintenance_suggestion,repair_priority,surface_type,length_ft,area_sy,sci_2023,sw_id,avg_width,num_of_distresses,bufferwidth_avg,num_crack_minor,num_crack_moderate,num_crack_severe,num_grass_present,num_surface_distortion_minor,num_surface_distortion_mod,num_surface_distortion_severe,num_uplift_general_minor,num_uplift_general_moderate,num_uplift_general_severe,num_uplift_tree_minor,num_uplift_tree_moderate,num_uplift_tree_severe,num_utility_hazard_present,avg_stress_lvl_Dummy
E EWING AVE,70,Reconstruction,61.93955876,Concrete,580,298.0599976,7,1040,4.625,156,,4,24,5,0,22,26,5,56,14,0,0,0,0,0,
YORK RD,29,Reconstruction,80.75210556,Concrete,472,288.4400024,17,1041,5.5,53,,5,1,8,0,1,1,8,1,9,6,0,2,11,0,
SPRINGBROOK DR,18,Reconstruction,77.33178618,Concrete,284,157.7799988,42,1042,5,26,,4,2,0,0,0,2,0,3,4,1,9,1,0,0,
CAROLINE ST,32,Reconstruction,79.65136691,Concrete,389,205.3099976,27,1043,4.75,40,,8,0,0,0,0,0,0,24,7,0,1,0,0,0,
CLAYTON DR,10,Reconstruction,80.34727152,Concrete,341,189.4400024,29,1044,5,33,,9,2,5,0,0,2,5,1,5,4,0,0,0,0,
ORKNEY DR,3,Defer Maintenance,65.83664404,Concrete,210,93.33000183,81,1045,4,8,,4,0,0,0,1,0,0,3,0,0,0,0,0,0,
OAKLAND ST,30,Reconstruction,80.49162152,Concrete,577,320.5599976,6,1046,5,99,,1,7,25,2,2,7,25,0,16,14,0,0,0,0,
E ALTGELD ST,46,Reconstruction,69.46370219,Concrete,636,353.3299866,34,1047,5,88,,6,17,0,0,2,17,0,29,3,0,12,2,0,0,
GREENWOOD DR,7,Defer Maintenance,68.66610583,Concrete,291,161.6699982,67,1048,5,14,,2,1,1,0,1,1,1,4,1,0,2,0,0,0,
SAMPSON ST,24,Reconstruction,58.74871138,Concrete,734,407.7799988,60,1049,5,62,,20,8,0,0,2,8,0,14,0,0,7,3,0,0,
CORAL DR,11,Reconstruction,73.30803906,Concrete,251,139.4400024,56,1050,5,21,,2,4,0,0,0,4,0,6,0,0,5,0,0,0,
CLYDE ST,43,Reconstruction,88.49199595,Concrete,305,177.9199982,5,1051,5.25,69,,5,5,1,0,9,5,1,28,11,4,0,0,0,0,
E EWING AVE,24,Reconstruction,56.33884199,Concrete,644,357.7799988,24,1052,5,100,,16,21,6,0,6,21,6,14,0,1,9,0,0,0,
WOODMONT DR,19,Reconstruction,78.50328963,Concrete,274,137,40,1053,4.5,20,,1,0,0,0,0,0,0,17,1,0,0,1,0,0,
HILLTOP DR,7,Reconstruction,84.61340118,Concrete,126,70,34,1054,5,9,,2,0,0,0,0,0,0,5,1,1,0,0,0,0,
SPRINGBROOK DR,23,Reconstruction,84.81723447,Concrete,283,165.0800018,20,1055,5.25,37,,7,2,1,0,1,2,1,14,8,1,0,0,0,0,
HILLSDALE RD,23,Reconstruction,80.89306381,Concrete,271,150.5599976,32,1056,5,35,,0,6,0,0,0,6,0,8,3,0,9,3,0,0,
ARGYLE DR,35,Reconstruction,71.6897484,Concrete,559,248.4400024,37,1057,4,48,,11,0,0,1,1,0,0,16,8,2,3,5,1,0,
ADDISON ST,13,Reconstruction,79.6049522,Concrete,249,131.4199982,38,1058,4.75,26,,6,1,1,0,3,1,1,3,4,1,4,0,1,0,
E IRVINGTON ST,11,Reconstruction,86.09371201,Concrete,146,68.94000244,28,1059,4.25,14,,1,1,0,0,0,1,0,8,3,0,0,0,0,0,
SAMPSON ST,65,Reconstruction,70.55606479,Concrete,740,370,22,1060,4.5,107,,21,9,0,2,2,8,0,48,10,4,3,0,0,0,
WALL ST,24,Reconstruction,72.45677037,Concrete,295,163.8899994,39,1061,5,35,,3,4,0,0,0,4,0,7,0,0,15,1,0,1,
MISHAWAKA AVE,42,Reconstruction,75.41149597,Concrete,292,146,12,1062,4.5,74,,16,5,0,0,7,4,0,38,0,0,1,0,0,3,
MISHAWAKA AVE,16,Reconstruction,72.09252794,Concrete,381,338.6700134,18,1063,8,47,,6,9,3,0,1,9,3,0,9,7,0,0,0,0,
MISHAWAKA AVE,3,Reconstruction,60.55224755,Concrete,380,232.2200012,53,1064,5.5,21,,1,6,1,0,3,6,1,0,3,0,0,0,0,0,
S 32ND ST,84,Reconstruction,75.5368935,Concrete,687,343.5,7,1065,4.5,153,,5,19,11,1,3,19,11,40,34,1,5,4,0,0,
S 28TH ST,32,Reconstruction,71.2346581,Concrete,554,307.7799988,37,1066,5,64,,4,10,3,0,2,10,3,15,0,0,14,1,2,0,
S 23RD ST,33,Reconstruction,80.60880105,Concrete,550,305.5599976,8,1067,5,94,,3,9,20,0,0,9,20,0,9,9,0,4,11,0,
VINE ST,23,Reconstruction,83.28481954,Concrete,383,196.8200073,13,1068,4.625,82,,3,11,10,14,0,11,10,20,2,0,1,0,0,0,
S 27TH ST,23,Reconstruction,75.292189,Concrete,556,278,25,1069,4.5,69,,2,13,3,5,7,13,3,0,8,3,1,3,8,0,
MISHAWAKA AVE,23,Reconstruction,78.68504615,Concrete,297,165,3,1070,5,69,,0,12,9,0,4,12,9,0,12,11,0,0,0,0,
S 28TH ST,21,Reconstruction,87.68253455,Concrete,272,151.1100006,10,1071,5,64,,6,7,7,2,7,7,7,15,3,0,3,0,0,0,
NURSERY PLACE CT,8,Reconstruction,82.4794793,Concrete,285,162.2899933,25,1072,5.125,51,,15,10,2,4,0,10,2,8,0,0,0,0,0,0,
OAKLAND ST,26,Reconstruction,80.11439561,Concrete,541,330.6099853,11,1073,5.5,84,,4,10,14,6,0,10,14,0,14,11,0,1,0,0,
ROBERTS ST,40,Reconstruction,82.1079914,Concrete,513,285,6,1074,5,97,,1,6,20,2,2,6,20,0,12,13,0,3,12,0,
OAKLAND ST,31,Reconstruction,81.81138948,Concrete,509,254.5,7,1075,4.5,98,,5,19,12,0,0,19,12,0,10,12,0,1,8,0,
SOMERSWORTH DR,11,Reconstruction,85.72336685,Concrete,182,91,26,1076,4.5,20,,8,0,0,0,1,0,0,3,6,1,0,1,0,0,
LANSDOWN BLVD,1,Defer Maintenance,67.29459848,Concrete,265,161.9400024,73,1077,5.5,10,,3,3,0,0,0,3,0,1,0,0,0,0,0,0,
LANSDOWN BLVD,5,Reconstruction,73.17340235,Concrete,270,165,56,1078,5.5,12,,5,1,0,0,0,1,0,1,2,2,0,0,0,0,
STONEHEDGE LN,10,Defer Maintenance,66.39244138,Concrete,431,239.4400024,63,1079,5,23,,8,1,0,0,3,1,0,6,4,0,0,0,0,0,
SOMERSWORTH DR,36,Reconstruction,64.71176196,Concrete,737,409.4400024,43,1080,5,63,,15,1,0,1,9,1,0,16,9,3,4,2,2,0,
SOMERSWORTH DR,13,Defer Maintenance,56.54858349,Concrete,753,418.3299866,68,1081,5,31,,13,2,0,0,3,0,0,6,6,1,0,0,0,0,
COLONIAL LN,8,Reconstruction,74.84761435,Concrete,276,122.6699982,50,1082,4,21,,12,1,0,0,0,0,0,2,4,1,0,1,0,0,
PROVINCIAL DR,7,Defer Maintenance,71.27185795,Concrete,260,115.5599976,62,1083,4,12,,3,2,0,0,0,0,0,5,2,0,0,0,0,0,
DUTCH CT,15,Reconstruction,82.29715142,Concrete,321,160.5,26,1084,4.5,22,,7,0,0,0,0,0,0,4,5,5,0,0,0,1,
DUTCH CT,3,Defer Maintenance,74.22119808,Concrete,92,40.88999939,66,1085,4,3,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
COTSWOLD LN,13,Reconstruction,84.91610583,Concrete,254,112.8899994,24,1086,4,14,,1,0,0,0,0,0,0,6,1,6,0,0,0,0,
ELIZABETHAN CT,4,Reconstruction,76.68081314,Concrete,178,89,53,1087,4.5,6,,2,0,0,0,0,0,0,2,0,2,0,0,0,0,
