streetname,num_of_uplifts,maintenance_suggestion,repair_priority,surface_type,length_ft,area_sy,sci_2023,sw_id,avg_width,num_of_distresses,bufferwidth_avg,num_crack_minor,num_crack_moderate,num_crack_severe,num_grass_present,num_surface_distortion_minor,num_surface_distortion_mod,num_surface_distortion_severe,num_uplift_general_minor,num_uplift_general_moderate,num_uplift_general_severe,num_uplift_tree_minor,num_uplift_tree_moderate,num_uplift_tree_severe,num_utility_hazard_present,avg_stress_lvl_Dummy
W JEFFERSON BLVD,7,Defer Maintenance,71.61714791,Concrete,259,151.0800018,61,4621,5.25,13,,5,0,0,1,0,0,0,2,2,0,1,0,2,0,
S ILLINOIS ST,13,Reconstruction,65.87780701,Concrete,516,301,59,4622,5.25,20,,5,0,0,1,1,0,0,5,6,1,0,1,0,0,
W JEFFERSON BLVD,41,Reconstruction,57.23141953,Concrete,924,551.8300171,50,4623,5.375,76,,28,0,0,0,7,0,0,17,9,2,6,5,2,0,
S FALCON ST,26,Reconstruction,69.98175262,Concrete,510,304.5799866,46,4624,5.375,39,,11,0,0,0,2,0,0,18,4,1,1,1,1,0,
N SHERIDAN ST,36,Reconstruction,64.5743535,Concrete,636,362.1700134,19,4625,5.125,75,,19,7,0,4,3,6,0,9,13,13,1,0,0,0,
S GLADSTONE ST,46,Reconstruction,69.10911226,Concrete,840,478.3299866,20,4626,5.125,100,,24,7,0,8,9,6,0,17,8,20,0,1,0,0,
S SHERIDAN ST,5,Defer Maintenance,60.35579345,Concrete,264,157.6699982,63,4627,5.375,5,,0,0,0,0,0,0,0,2,2,1,0,0,0,0,
SUNSET PL,27,Reconstruction,66.09625278,Concrete,737,440.1499939,36,4628,5.375,94,,25,6,0,19,10,6,1,11,5,9,0,1,1,0,
N FALCON ST,21,Defer Maintenance,55.71619433,Concrete,814,440.9200134,65,4629,4.875,43,,17,1,0,1,3,0,0,18,2,1,0,0,0,0,
N KENMORE ST,23,Reconstruction,74.56094454,Concrete,443,276.8800049,37,4630,5.625,46,,18,1,0,0,4,0,0,9,7,2,1,1,3,0,
N WELLINGTON ST,13,Defer Maintenance,57.42795873,Concrete,625,355.8999939,76,4631,5.125,13,,0,0,0,0,0,0,0,6,1,1,3,2,0,0,
N CHICAGO ST,49,Reconstruction,68.3882254,Concrete,821,490.3200073,23,4632,5.375,103,,19,3,0,15,13,4,0,11,10,16,3,2,7,0,
W JEFFERSON BLVD,17,Reconstruction,81.30159352,Concrete,266,144.0800018,32,4633,4.875,27,,7,1,0,0,2,0,0,10,2,2,0,0,3,0,
S CHICAGO ST,20,Reconstruction,72.63981551,Concrete,514,278.4200134,40,4634,4.875,22,,0,0,0,2,0,0,0,9,7,4,0,0,0,0,
S ILLINOIS ST,7,Defer Maintenance,58.89386373,Concrete,514,321.25,80,4635,5.625,7,,0,0,0,0,0,0,0,4,1,1,1,0,0,0,
W JEFFERSON BLVD,11,Reconstruction,78.09440738,Concrete,254,158.75,43,4636,5.625,15,,4,0,0,0,0,0,0,6,5,0,0,0,0,0,
W JEFFERSON BLVD,10,Reconstruction,73.65865371,Concrete,278,173.75,54,4637,5.625,13,,2,0,0,0,1,0,0,6,1,1,0,0,2,0,
W JEFFERSON BLVD,19,Reconstruction,84.37811822,Concrete,288,156,22,4638,4.875,26,,4,0,0,0,2,0,1,8,9,2,0,0,0,0,
N SHERIDAN ST,23,Reconstruction,61.41287698,Concrete,566,306.5799866,35,4639,4.875,51,,24,2,0,0,2,0,0,6,9,6,0,1,1,0,
S GLADSTONE ST,30,Reconstruction,79.32019101,Concrete,485,303.1199951,16,4640,5.625,94,4.5,11,14,0,21,3,15,0,3,14,8,2,1,2,0,
VILLAGE WAY,30,Reconstruction,78.55743608,Concrete,554,338.5599976,17,4641,5.5,59,,20,1,0,0,8,0,0,6,8,16,0,0,0,0,
SUNSET PL,20,Reconstruction,67.64470255,Concrete,636,379.8299866,40,4642,5.375,79,,34,4,0,6,11,4,0,9,6,5,0,0,0,0,
N FALCON ST,9,Defer Maintenance,57.98340352,Concrete,525,328.1199951,81,4643,5.625,15,,6,0,0,0,0,0,0,6,1,0,2,0,0,0,
N WELLINGTON ST,7,Defer Maintenance,57.5499645,Concrete,509,318.1199951,84,4644,5.625,8,,1,0,0,0,0,0,0,5,1,0,1,0,0,0,
N CHICAGO ST,29,Reconstruction,70.5237763,Concrete,604,327.1700134,34,4645,4.875,80,,42,3,0,0,6,0,0,14,12,2,1,0,0,0,
W WASHINGTON ST,28,Reconstruction,74.81893642,Concrete,493,260.1900024,18,4646,4.75,45,,7,1,0,3,6,0,0,6,11,10,0,0,0,1,
HOLLAND ST,0,Reconstruction,88.4292668,Concrete,483,268.3299866,0,4647,5,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
NEWCOME ST,25,Reconstruction,79.19557152,Concrete,482,247.6900024,23,4648,4.625,30,,2,0,0,0,3,0,0,5,14,6,0,0,0,0,
W WASHINGTON ST,36,Reconstruction,46.74546308,Concrete,1088,680,56,4649,5.625,49,,7,0,0,2,4,0,0,26,8,2,0,0,0,0,
S KENTUCKY ST,5,Reconstruction,86.5891143,Concrete,93,54.25,31,4650,5.25,6,,1,0,0,0,0,0,0,1,1,1,0,1,1,0,
CAMDEN ST,17,Reconstruction,67.48132713,Concrete,513,334.8800049,53,4651,5.875,37,,7,1,0,9,2,0,1,12,1,3,0,0,1,0,
W JEFFERSON BLVD,15,Reconstruction,80.18807806,Concrete,290,181.25,34,4652,5.625,22,,3,0,0,0,4,0,0,3,5,2,1,1,3,0,
W JEFFERSON BLVD,0,Reconstruction,88.03131352,Concrete,498,262.8299866,0,4653,4.75,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
S LIBERTY ST,22,Reconstruction,69.83739047,Concrete,513,306.3800049,46,4654,5.375,41,,2,0,0,8,9,0,0,10,3,1,1,2,5,0,
S BENDIX DR,6,Reconstruction,89.59182284,Concrete,109,65.09999847,20,4655,5.375,21,,10,1,0,1,2,1,0,3,1,2,0,0,0,0,
S MEADE ST,14,Reconstruction,79.7576904,Concrete,373,191.6799927,30,4656,4.625,18,,4,0,0,0,0,0,0,3,4,7,0,0,0,0,
NAPIER ST,20,Reconstruction,70.79966301,Concrete,494,295.0299988,46,4657,5.375,27,,3,0,0,1,3,0,0,12,7,1,0,0,0,0,
CAMDEN ST,20,Reconstruction,65.3967376,Concrete,580,370.5599976,53,4658,5.75,50,,7,1,0,18,3,0,1,5,3,2,2,6,2,0,
S KALEY ST,19,Reconstruction,66.36163602,Concrete,515,307.5700073,41,4659,5.375,37,,8,2,0,0,4,2,2,9,5,4,1,0,0,0,
S MEADE ST,8,Reconstruction,80.07317186,Concrete,246,126.4199982,38,4660,4.625,15,,2,1,0,0,4,0,0,2,3,3,0,0,0,0,
W WASHINGTON ST,26,Reconstruction,70.16152758,Concrete,492,252.8300018,30,4661,4.625,56,,11,0,0,15,2,0,2,7,8,4,0,0,5,2,
HOLLAND ST,14,Defer Maintenance,66.05595295,Concrete,482,267.7799988,61,4662,5,18,,1,1,0,1,1,0,0,6,2,2,2,1,1,0,
NEWCOME ST,0,Reconstruction,88.48938224,Concrete,482,247.6900024,0,4663,4.625,0,,,,,,,,,,,,,,,,
W WASHINGTON ST,10,Reconstruction,70.62946763,Concrete,288,172,46,4664,5.375,21,,1,3,0,4,1,2,0,5,4,1,0,0,0,0,
W WASHINGTON ST,12,Reconstruction,68.06104908,Concrete,282,141,54,4665,4.5,17,,1,0,0,4,0,0,0,6,1,0,2,1,2,0,
W JEFFERSON BLVD,16,Reconstruction,85.72989506,Concrete,303,180.9600067,17,4666,5.375,28,,5,0,0,0,7,0,0,3,4,9,0,0,0,0,
W WASHINGTON ST,6,Defer Maintenance,62.13228072,Concrete,291,153.5800018,71,4667,4.75,7,,1,0,0,0,0,0,0,2,1,1,1,1,0,0,
W WASHINGTON ST,11,Reconstruction,68.66780779,Concrete,279,139.5,52,4668,4.5,22,,1,1,0,5,3,1,0,5,1,1,1,2,1,0,
W JEFFERSON BLVD,13,Reconstruction,79.84633788,Concrete,285,154.3800049,36,4669,4.875,15,,0,0,0,1,1,0,0,4,9,0,0,0,0,0,
DUNDEE ST,16,Reconstruction,67.40020472,Concrete,512,270.2200012,54,4670,4.75,30,,3,0,0,7,0,0,4,7,5,1,2,1,0,0,
W JEFFERSON BLVD,13,Reconstruction,76.72815178,Concrete,284,169.6100006,45,4671,5.375,13,,0,0,0,0,0,0,0,7,5,0,1,0,0,0,
W JEFFERSON BLVD,4,Defer Maintenance,67.9640985,Concrete,289,184.6399994,69,4672,5.75,15,,4,0,0,5,2,0,0,1,0,1,0,0,2,0,
W JEFFERSON BLVD,0,Reconstruction,93.53281853,Concrete,273,147.8800049,0,4673,4.875,0,,,,,,,,,,,,,,,,
W WASHINGTON ST,0,Reconstruction,87.94749229,Concrete,275,137.5,0,4674,4.5,5,,0,0,0,3,2,0,0,0,0,0,0,0,0,0,
W WASHINGTON ST,1,Reconstruction,87.9470668,Concrete,278,146.7200012,0,4675,4.75,3,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,
W WASHINGTON ST,12,Reconstruction,68.96398423,Concrete,286,146.9700012,51,4676,4.625,19,,4,1,0,2,0,0,0,6,4,0,1,1,0,0,
NAPIER ST,23,Reconstruction,76.12542914,Concrete,489,264.8800049,28,4677,4.875,61,,19,8,0,3,2,6,0,9,7,6,0,0,1,0,
S KALEY ST,20,Reconstruction,73.03854682,Concrete,373,196.8600006,32,4678,4.75,36,,9,0,0,0,7,0,0,11,5,3,0,0,1,0,
DUNDEE ST,0,Defer Maintenance,58.71138996,Concrete,236,140.9400024,100,4679,5.375,0,,,,,,,,,,,,,,,,
CAMDEN ST,20,Reconstruction,69.15476109,Concrete,571,364.8099976,45,4680,5.75,31,,5,2,0,0,2,2,0,9,6,4,1,0,0,0,
S BENDIX DR,9,Reconstruction,94.48699464,Concrete,106,57.41999817,7,4681,4.875,16,,2,0,0,0,5,0,0,1,2,4,0,0,1,1,
S KALEY ST,4,Defer Maintenance,63.39541007,Concrete,246,126.4199982,70,4682,4.625,12,,4,0,0,1,3,0,0,2,2,0,0,0,0,0,
N MEADE ST,7,Reconstruction,77.52888459,Concrete,239,122.8199997,46,4683,4.625,11,,0,0,0,1,3,0,0,4,0,3,0,0,0,0,
S WALNUT ST,8,Reconstruction,61.8935209,Concrete,283,180.8099976,56,4684,5.75,19,,1,5,0,0,0,5,0,8,0,0,0,0,0,0,
OBRIEN ST,79,Reconstruction,81.41662128,Concrete,510,262.0799866,3,4685,4.625,148,,33,2,0,17,16,1,0,41,23,15,0,0,0,0,
JOHNSON ST,27,Reconstruction,75.72115431,Concrete,538,321.3099976,23,4686,5.375,89,,20,6,6,5,18,4,3,5,8,5,1,0,8,0,
VASSAR AVE,32,Reconstruction,88.48149247,Concrete,267,144.6199951,8,4687,4.875,65,,13,0,0,11,9,0,0,20,7,5,0,0,0,0,
N BROOKFIELD ST,33,Reconstruction,76.39300059,Concrete,537,305.7900085,23,4688,5.125,71,,15,6,2,1,7,3,4,3,13,5,0,9,3,0,
VASSAR AVE,26,Reconstruction,85.77176313,Concrete,289,148.5099945,14,4689,4.625,66,,10,2,0,16,10,1,1,18,4,4,0,0,0,0,
COLLEGE ST,32,Reconstruction,78.26728942,Concrete,551,298.4599915,16,4690,4.875,79,,20,5,0,0,13,3,6,1,12,12,0,0,7,0,
JOHNSON ST,60,Reconstruction,74.79648279,Concrete,590,327.7799988,12,4691,5,189,,39,10,12,38,29,1,0,46,9,5,0,0,0,0,
N BROOKFIELD ST,46,Reconstruction,90.72285627,Concrete,230,134.1699982,1,4692,5.25,97,,15,10,3,7,14,2,0,23,10,13,0,0,0,0,
CALIFORNIA AVE,36,Reconstruction,85.47934314,Concrete,283,176.8800049,12,4693,5.625,98,,16,6,1,22,17,0,0,32,1,0,0,0,0,3,
COLLEGE ST,19,Reconstruction,81.36184268,Concrete,374,218.1699982,20,4694,5.25,72,,24,7,8,0,11,3,0,1,8,3,0,3,4,0,
CALIFORNIA AVE,10,Reconstruction,83.37425722,Concrete,152,92.88999939,34,4695,5.5,26,,6,1,0,4,5,0,0,9,1,0,0,0,0,0,
N ADAMS ST,33,Reconstruction,76.01158058,Concrete,594,321.75,18,4696,4.875,93,,27,7,5,0,19,2,0,3,10,13,0,0,7,0,
CALIFORNIA AVE,10,Reconstruction,86.42714908,Concrete,144,90,27,4697,5.625,16,,4,0,0,0,2,0,0,6,4,0,0,0,0,0,
WILBER ST,8,Defer Maintenance,39.73625794,Concrete,892,520.3300171,78,4698,5.25,8,,0,0,0,0,0,0,0,0,7,1,0,0,0,0,
OBRIEN ST,182,Reconstruction,72.47205149,Concrete,682,369.4200134,0,4699,4.875,311,,41,12,7,45,22,2,0,109,49,22,0,0,2,0,
OBRIEN ST,20,Reconstruction,79.38912014,Concrete,295,159.7899933,36,4700,4.875,21,,1,0,0,0,0,0,0,17,3,0,0,0,0,0,
JOHNSON ST,17,Reconstruction,89.52070548,Concrete,177,98.33000183,15,4701,5,27,,6,0,0,0,4,0,0,10,6,1,0,0,0,0,
JOHNSON ST,32,Reconstruction,87.71823911,Concrete,293,183.1199951,11,4702,5.625,39,,7,0,0,0,0,0,0,24,2,6,0,0,0,0,
N BROOKFIELD ST,31,Reconstruction,86.91615689,Concrete,301,163.0399933,12,4703,4.875,46,,8,0,0,0,7,0,0,21,5,5,0,0,0,0,
VAN BUREN ST,13,Reconstruction,81.80217461,Concrete,297,152.6199951,28,4704,4.625,32,,10,0,3,1,4,1,0,2,9,2,0,0,0,0,
N BROOKFIELD ST,30,Reconstruction,83.72650088,Concrete,343,209.6100006,19,4705,5.5,37,,3,0,0,3,1,0,0,21,6,3,0,0,0,0,
COLLEGE ST,18,Reconstruction,78.25005106,Concrete,311,172.7799988,37,4706,5,32,,7,1,0,0,5,0,1,14,4,0,0,0,0,0,
FREDRICKSON ST,24,Reconstruction,86.66476615,Concrete,270,138.75,15,4707,4.625,44,,2,0,0,16,2,0,0,14,7,3,0,0,0,0,
OBRIEN ST,36,Reconstruction,88.44011068,Concrete,267,144.6199951,6,4708,4.875,86,,9,0,0,41,0,0,0,23,9,4,0,0,0,0,
WILBER ST,1,Defer Maintenance,46.02621738,Concrete,402,240.0800018,94,4709,5.375,3,,2,0,0,0,0,0,0,0,1,0,0,0,0,0,
FREDRICKSON ST,19,Reconstruction,84.06923791,Concrete,286,158.8899994,23,4710,5,26,,2,0,0,5,0,0,0,10,6,3,0,0,0,0,
N BROOKFIELD ST,21,Reconstruction,67.32524581,Concrete,550,320.8299866,46,4711,5.25,86,,18,10,0,34,3,0,0,4,7,0,6,0,4,0,
RUPEL ST,11,Reconstruction,76.54198234,Concrete,290,161.1100006,43,4712,5,34,,5,1,3,9,5,0,0,6,5,0,0,0,0,0,
OBRIEN ST,31,Reconstruction,86.77732608,Concrete,265,136.1799927,12,4713,4.625,74,,9,0,0,31,3,0,0,24,5,2,0,0,0,0,
WERWINSKI ST,12,Reconstruction,72.67728281,Concrete,438,273.75,41,4714,5.625,62,,14,4,0,24,1,0,7,2,5,0,2,0,3,0,
LONGLEY AVE,2,Reconstruction,74.10045661,Concrete,438,358.9200134,35,4715,7.375,82,,25,4,2,27,15,3,4,1,1,0,0,0,0,0,
LONGLEY AVE,16,Reconstruction,80.28608628,Concrete,284,145.9400024,30,4716,4.625,63,,10,2,0,29,6,0,0,12,2,2,0,0,0,0,
LONGLEY AVE,11,Defer Maintenance,62.98183529,Concrete,498,255.9199982,65,4717,4.625,53,,18,1,0,18,5,0,0,10,1,0,0,0,0,0,
ROGER ST,19,Reconstruction,66.31861305,Concrete,590,344.1700134,44,4718,5.25,107,,40,2,0,30,16,0,0,10,5,2,0,0,2,0,
FASSNACHT AVE,8,Defer Maintenance,64.49757107,Concrete,412,211.7200012,71,4719,4.625,9,,0,0,0,1,0,0,0,3,1,0,1,1,2,0,
FASSNACHT AVE,7,Defer Maintenance,59.44313286,Concrete,466,278.3099976,81,4720,5.375,14,,1,0,0,6,0,0,0,5,1,0,0,0,1,0,
FASSNACHT AVE,4,Defer Maintenance,66.65930774,Concrete,281,156.1100006,74,4721,5,7,,1,0,0,2,0,0,0,0,1,0,1,1,1,0,
COLLEGE ST,6,Reconstruction,75.35997539,Concrete,262,156.4700012,48,4722,5.375,36,,11,1,0,17,1,0,0,2,2,2,0,0,0,0,
WILBER ST,7,Reconstruction,75.38186982,Concrete,651,334.5400085,1,4723,4.625,241,,25,10,3,92,17,5,82,6,1,0,0,0,0,0,
SIBLEY ST,21,Reconstruction,70.79411951,Concrete,476,244.6100006,43,4724,4.625,69,,13,0,0,22,13,0,0,10,3,1,1,2,4,0,
SIBLEY ST,10,Reconstruction,67.7339214,Concrete,415,213.2599945,57,4725,4.625,56,,18,1,0,17,9,0,1,3,1,0,3,3,0,0,
N BROOKFIELD ST,10,Reconstruction,77.0875558,Concrete,304,173.1100006,37,4726,5.125,69,,19,5,0,32,3,0,0,1,2,1,1,3,2,0,
KENWOOD AVE,4,Defer Maintenance,56.13672281,Concrete,606,311.4200134,81,4727,4.625,12,,2,1,0,5,0,0,0,0,1,0,0,0,3,0,
N BROOKFIELD ST,0,Reconstruction,74.86854838,Concrete,306,178.5,46,4728,5.25,40,,18,3,0,3,15,1,0,0,0,0,0,0,0,0,
FLORENCE ST,2,Defer Maintenance,65.29900898,Concrete,417,231.6699982,66,4729,5,33,,0,6,4,15,5,1,0,2,0,0,0,0,0,0,
COLLEGE ST,1,Reconstruction,72.7484731,Concrete,268,137.7200012,54,4730,4.625,45,,15,2,0,20,6,1,0,1,0,0,0,0,0,0,
FLORENCE ST,4,Reconstruction,87.87807689,Concrete,479,246.1499939,0,4731,4.625,19,,6,0,0,9,0,0,0,2,0,0,1,1,0,0,
FLORENCE ST,7,Defer Maintenance,70.14251432,Concrete,292,174.3899994,63,4732,5.375,12,,3,1,0,0,1,0,0,2,4,0,1,0,0,0,
LINDEN AVE,11,Reconstruction,71.31322759,Concrete,425,224.3099976,46,4733,4.75,59,,22,5,0,13,7,0,1,6,3,2,0,0,0,0,
JOHNSON ST,4,Defer Maintenance,63.10760968,Concrete,292,158.1699982,83,4734,4.875,9,,2,0,0,3,0,0,0,2,1,0,1,0,0,0,
COLLEGE ST,10,Reconstruction,77.84890054,Concrete,283,145.4299927,38,4735,4.625,52,,14,4,2,12,9,1,0,5,4,0,1,0,0,0,
LINDEN AVE,4,Defer Maintenance,61.58733941,Concrete,429,262.1700134,78,4736,5.5,9,,3,0,0,2,0,0,0,1,2,1,0,0,0,0,
N BROOKFIELD ST,9,Reconstruction,91.87669588,Concrete,279,158.8800049,0,4737,5.125,42,,7,9,1,3,8,5,0,5,0,0,0,0,4,0,
OBRIEN ST,9,Reconstruction,78.06182712,Concrete,304,152,38,4738,4.5,32,,3,5,0,9,5,1,0,0,1,5,0,1,2,0,
PARALLEL ST,0,Reconstruction,95.60810811,Concrete,187,103.8899994,0,4739,5,0,,,,,,,,,,,,,,,,
ORANGE ST,16,Reconstruction,68.71564485,Concrete,206,123.0299988,27,4740,5.375,20,,3,0,0,0,1,0,0,9,2,2,1,2,0,0,
ORANGE ST,9,Reconstruction,67.03390778,Concrete,215,128.3999939,31,4741,5.375,21,,6,2,0,3,1,0,0,1,7,1,0,0,0,0,
ORANGE ST,4,Defer Maintenance,54.40579929,Concrete,207,117.8799973,67,4742,5.125,20,,7,0,0,8,1,0,0,3,1,0,0,0,0,0,
OBRIEN ST,4,Defer Maintenance,60.36544596,Concrete,382,201.6100006,85,4743,4.75,5,,0,0,0,1,0,0,0,3,0,0,0,0,0,1,
ORANGE ST,7,Reconstruction,62.94699386,Concrete,232,125.6699982,42,4744,4.875,14,,3,0,0,2,2,0,0,1,0,2,0,0,4,0,
LAPORTE AVE,19,Reconstruction,56.57434378,Concrete,620,335.8299866,45,4745,4.875,50,,16,5,0,1,6,3,0,5,8,3,0,1,0,2,
SANCOME AVE,6,Defer Maintenance,64.47429077,Concrete,407,243.0700073,71,4746,5.375,13,,6,0,0,0,1,0,0,4,0,2,0,0,0,0,
ORANGE ST,,Reconstruction,18.19498069,No Sidewalk,657,0,,4747,,,,,,,,,,,,,,,,,,
BERTRAND ST,9,Reconstruction,65.81874921,Concrete,592,378.2200012,50,4748,5.75,60,,10,12,3,8,16,2,0,4,2,3,0,0,0,0,
LINDEN AVE,2,Defer Maintenance,62.88780234,Concrete,273,174.4199982,85,4749,5.75,8,,0,0,0,6,0,0,0,1,0,0,0,0,0,1,
LINDEN AVE,8,Reconstruction,73.90784406,Concrete,278,177.6100006,53,4750,5.75,16,,0,0,0,8,0,0,0,1,3,1,0,1,1,1,
JOHNSON ST,92,Reconstruction,75.22346654,Concrete,679,367.7900085,6,4751,4.875,177,,36,8,5,20,16,0,0,56,27,9,0,0,0,0,
JOHNSON ST,10,Reconstruction,74.48677582,Concrete,338,187.7799988,44,4752,5,49,,13,5,0,17,4,0,0,3,0,1,1,1,4,0,
JOHNSON ST,49,Reconstruction,71.97681939,Concrete,645,349.3800049,19,4753,4.875,161,,27,8,0,65,12,0,0,32,7,9,1,0,0,0,
RUPEL ST,12,Reconstruction,81.27920067,Concrete,426,254.4199982,1,4754,5.375,228,,8,50,9,86,14,7,42,1,3,2,1,0,5,0,
N BROOKFIELD ST,6,Reconstruction,72.62313636,Concrete,306,174.25,54,4755,5.125,23,,5,1,0,10,0,1,0,1,3,2,0,0,0,0,
COLLEGE ST,10,Reconstruction,76.20371901,Concrete,307,162.0299988,43,4756,4.75,32,,9,3,0,4,6,0,0,5,3,2,0,0,0,0,
WILBER ST,18,Reconstruction,72.2992667,Concrete,471,255.1199951,36,4757,4.875,100,,29,9,0,28,14,2,0,10,4,2,2,0,0,0,
LINDEN AVE,4,Defer Maintenance,63.63807222,Concrete,273,147.8800049,83,4758,4.875,7,,2,0,0,1,0,0,0,4,0,0,0,0,0,0,
WILBER ST,17,Reconstruction,73.68604301,Concrete,309,175.9600067,18,4759,5.125,51,,13,6,1,0,12,2,0,3,11,3,0,0,0,0,
COLLEGE ST,46,Reconstruction,78.71292172,Concrete,462,256.6700134,12,4760,5,166,,27,9,3,73,7,1,0,30,14,2,0,0,0,0,
N ADAMS ST,37,Reconstruction,74.70884432,Concrete,599,324.4599915,20,4761,4.875,106,,27,9,6,4,22,1,0,5,5,6,2,7,12,0,
ORANGE ST,1,Defer Maintenance,50.50050815,Concrete,212,135.4400024,78,4762,5.75,16,,3,1,0,10,1,0,0,1,0,0,0,0,0,0,
JOHNSON ST,1,Defer Maintenance,62.1577614,Concrete,179,111.8799973,94,4763,5.625,2,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
N ADAMS ST,1,Reconstruction,77.84059743,Concrete,202,109.4199982,44,4764,4.875,47,,12,2,0,31,1,0,0,0,1,0,0,0,0,0,
COLLEGE ST,,Reconstruction,40.25096525,No Sidewalk,409,0,,4765,,,,,,,,,,,,,,,,,,
OBRIEN ST,42,Reconstruction,78.38992735,Concrete,513,263.6199951,15,4766,4.625,111,,28,6,7,5,22,1,0,10,14,4,1,3,10,0,
VASSAR AVE,25,Reconstruction,94.72943797,Concrete,143,77.45999908,1,4767,4.875,44,,8,0,0,4,7,0,0,12,5,8,0,0,0,0,
JOHNSON ST,25,Reconstruction,74.0509176,Concrete,523,297.8200073,30,4768,5.125,76,,26,5,2,3,10,2,3,6,6,2,0,5,6,0,
VASSAR AVE,50,Reconstruction,89.38505976,Concrete,275,156.6000061,1,4769,5.125,104,,15,4,9,12,13,1,0,27,12,10,0,0,1,0,
N BROOKFIELD ST,36,Reconstruction,79.43382074,Concrete,538,269,12,4770,4.5,95,,20,9,3,0,13,8,6,6,13,11,0,2,4,0,
VASSAR AVE,42,Reconstruction,87.33702576,Concrete,283,153.2899933,7,4771,4.875,96,,16,1,0,27,10,0,0,33,7,2,0,0,0,0,
COLLEGE ST,45,Reconstruction,79.68031228,Concrete,538,298.8900147,10,4772,5,108,,31,6,1,0,22,2,1,4,15,15,0,2,9,0,
VASSAR AVE,21,Reconstruction,92.54704687,Concrete,149,80.70999908,6,4773,4.875,51,,2,1,0,24,3,0,0,14,6,1,0,0,0,0,
VASSAR AVE,7,Reconstruction,90.35074837,Concrete,141,78.33000183,14,4774,5,38,,6,1,4,7,11,1,1,3,3,1,0,0,0,0,
WILBER ST,13,Reconstruction,57.0785476,Concrete,543,301.6700134,50,4775,5,38,,7,0,0,3,11,3,1,4,6,2,0,0,1,0,
VASSAR AVE,5,Reconstruction,72.87027222,Concrete,293,158.7100067,56,4776,4.875,5,,0,0,0,0,0,0,0,1,0,0,0,0,4,0,
JOHNSON ST,184,Reconstruction,69.08783784,Concrete,694,404.8299866,0,4777,5.25,397,,81,30,11,38,39,10,4,93,57,29,0,3,2,0,
N BROOKFIELD ST,92,Reconstruction,77.87868473,Concrete,591,336.5400085,3,4778,5.125,192,,21,10,2,38,26,3,0,50,18,22,0,0,2,0,
CALIFORNIA AVE,13,Reconstruction,93.32564212,Concrete,129,89.58000183,9,4779,6.25,13,,0,0,0,0,0,0,0,7,3,3,0,0,0,0,
COLLEGE ST,20,Reconstruction,86.85589557,Concrete,284,161.7200012,11,4780,5.125,69,,22,9,3,0,13,2,0,2,6,7,0,3,2,0,
CALIFORNIA AVE,30,Reconstruction,82.66975774,Concrete,305,165.2100067,21,4781,4.875,72,,7,1,0,19,15,0,0,27,3,0,0,0,0,0,
N ADAMS ST,47,Reconstruction,74.38208134,Concrete,592,337.1099853,23,4782,5.125,90,,13,0,0,9,21,0,0,21,18,1,0,4,3,0,
WILBER ST,15,Reconstruction,55.39546113,Concrete,589,368.1199951,51,4783,5.625,44,,16,0,0,2,11,0,0,3,9,2,0,0,1,0,
OBRIEN ST,167,Reconstruction,74.16628575,Concrete,661,339.6799927,0,4784,4.625,278,,46,7,1,41,16,0,0,91,46,28,0,0,2,0,
LINCOLN WAY W,45,Reconstruction,46.71693104,Concrete,657,365,40,4785,5,51,,4,0,0,0,2,0,0,44,1,0,0,0,0,0,
N BROOKFIELD ST,43,Reconstruction,87.77025811,Concrete,292,146,8,4786,4.5,68,,13,1,1,1,9,0,0,35,6,2,0,0,0,0,
LINCOLN WAY W,16,Reconstruction,56.93653171,Concrete,299,186.8800049,39,4787,5.625,17,,0,0,0,0,1,0,0,12,3,1,0,0,0,0,
VAN BUREN ST,5,Reconstruction,78.07005728,Concrete,339,202.4600067,34,4788,5.375,48,,12,8,0,3,12,8,0,2,1,0,2,0,0,0,
PRAST BLVD,40,Reconstruction,89.37945547,Concrete,268,145.1699982,3,4789,4.875,89,,11,0,8,25,5,0,0,22,9,9,0,0,0,0,
LINCOLN WAY W,24,Reconstruction,45.6372723,Concrete,474,237,57,4790,4.5,35,,4,1,0,1,4,0,1,16,1,0,7,0,0,0,
FREDRICKSON ST,38,Reconstruction,88.41555391,Concrete,271,154.3200073,6,4791,5.125,84,,20,2,1,16,7,0,0,28,5,5,0,0,0,0,
OBRIEN ST,44,Reconstruction,89.97017934,Concrete,266,136.6900024,4,4792,4.625,64,,5,0,0,9,6,0,0,30,10,4,0,0,0,0,
WILBER ST,10,Reconstruction,71.65348463,Concrete,284,157.7799988,28,4793,5,25,,9,1,0,0,4,0,1,0,5,5,0,0,0,0,
N BROOKFIELD ST,26,Reconstruction,68.79179512,Concrete,574,326.8599853,44,4794,5.125,49,,10,0,0,8,5,0,0,19,5,2,0,0,0,0,
RUPEL ST,27,Reconstruction,84.79870749,Concrete,291,157.6199951,18,4795,4.875,52,,6,4,8,5,2,0,0,22,4,1,0,0,0,0,
OBRIEN ST,26,Reconstruction,85.56693298,Concrete,268,137.7200012,17,4796,4.625,56,,7,0,0,22,1,0,0,18,7,1,0,0,0,0,
